Airport ID_x,departure_iataCode,arrival_iataCode,Name_origin,City_origin,Country_origin,Latitude_origin,Longitude_origin,airline_name,counts,Airport ID_y,Name_dest,City_dest,Country_dest,Latitude_dest,Longitude_dest,Altitude
2604,PNZ,GRU,Senador Nilo Coelho Airport,Petrolina,Brazil,-9.362409591674805,-40.56909942626953,gol,15,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2604,PNZ,GRU,Senador Nilo Coelho Airport,Petrolina,Brazil,-9.362409591674805,-40.56909942626953,latam airlines,14,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2599,POA,GRU,Salgado Filho Airport,Porto Alegre,Brazil,-29.994400024414062,-51.1713981628418,azul,32,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2599,POA,GRU,Salgado Filho Airport,Porto Alegre,Brazil,-29.994400024414062,-51.1713981628418,gol,30,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2599,POA,GRU,Salgado Filho Airport,Porto Alegre,Brazil,-29.994400024414062,-51.1713981628418,latam airlines,67,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2550,PPB,GRU,Presidente Prudente Airport,President Prudente,Brazil,-22.1751003265,-51.4245986938,gol,7,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2550,PPB,GRU,Presidente Prudente Airport,President Prudente,Brazil,-22.1751003265,-51.4245986938,latam airlines,8,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
1871,PTY,GRU,Tocumen International Airport,Panama City,Panama,9.0713596344,-79.3834991455,copa airlines,48,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2607,PVH,GRU,Governador Jorge Teixeira de Oliveira Airport,Porto Velho,Brazil,-8.70928955078125,-63.90230178833008,gol,2,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2607,PVH,GRU,Governador Jorge Teixeira de Oliveira Airport,Porto Velho,Brazil,-8.70928955078125,-63.90230178833008,latam airlines,9,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2613,RAO,GRU,Leite Lopes Airport,Ribeirao Preto,Brazil,-21.136388778686523,-47.77666854858398,latam airlines,13,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2609,RBR,GRU,Plácido de Castro Airport,Rio Branco,Brazil,-9.868888854980469,-67.89805603027344,gol,3,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2609,RBR,GRU,Plácido de Castro Airport,Rio Branco,Brazil,-9.868888854980469,-67.89805603027344,latam airlines,8,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2610,REC,GRU,Guararapes - Gilberto Freyre International Airport,Recife,Brazil,-8.126489639282228,-34.923599243164055,azul,45,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2610,REC,GRU,Guararapes - Gilberto Freyre International Airport,Recife,Brazil,-8.126489639282228,-34.923599243164055,gol,24,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2610,REC,GRU,Guararapes - Gilberto Freyre International Airport,Recife,Brazil,-8.126489639282228,-34.923599243164055,latam airlines,47,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2610,REC,GRU,Guararapes - Gilberto Freyre International Airport,Recife,Brazil,-8.126489639282228,-34.923599243164055,latam cargo brasil,6,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2440,ROS,GRU,Islas Malvinas Airport,Rosario,Argentina,-32.9036,-60.785,gol,4,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2650,SCL,GRU,Comodoro Arturo Merino Benítez International Airport,Santiago,Chile,-33.393001556396484,-70.78579711914062,latam airlines,52,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2650,SCL,GRU,Comodoro Arturo Merino Benítez International Airport,Santiago,Chile,-33.393001556396484,-70.78579711914062,latam cargo brasil,5,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2650,SCL,GRU,Comodoro Arturo Merino Benítez International Airport,Santiago,Chile,-33.393001556396484,-70.78579711914062,sky airline,15,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2612,SDU,GRU,Santos Dumont Airport,Rio De Janeiro,Brazil,-22.910499572800003,-43.1631011963,azul,18,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2612,SDU,GRU,Santos Dumont Airport,Rio De Janeiro,Brazil,-22.910499572800003,-43.1631011963,gol,40,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2612,SDU,GRU,Santos Dumont Airport,Rio De Janeiro,Brazil,-22.910499572800003,-43.1631011963,latam airlines,53,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2619,SJP,GRU,Prof. Eribelto Manoel Reino State Airport,Sao Jose Do Rio Preto,Brazil,-20.8166007996,-49.40650177,latam airlines,14,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2476,SLA,GRU,Martin Miguel De Guemes International Airport,Salta,Argentina,-24.856000900300003,-65.4861984253,aerolineas argentinas,2,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2616,SLZ,GRU,Marechal Cunha Machado International Airport,Sao Luis,Brazil,-2.585360050201416,-44.23410034179688,gol,8,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2616,SLZ,GRU,Marechal Cunha Machado International Airport,Sao Luis,Brazil,-2.585360050201416,-44.23410034179688,latam airlines,24,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2621,SSA,GRU,Deputado Luiz Eduardo Magalhães International Airport,Salvador,Brazil,-12.9086112976,-38.3224983215,gol,33,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2621,SSA,GRU,Deputado Luiz Eduardo Magalhães International Airport,Salvador,Brazil,-12.9086112976,-38.3224983215,latam airlines,40,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2623,THE,GRU,Senador Petrônio Portela Airport,Teresina,Brazil,-5.0599398613,-42.8235015869,gol,8,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2623,THE,GRU,Senador Petrônio Portela Airport,Teresina,Brazil,-5.0599398613,-42.8235015869,latam airlines,15,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2633,UDI,GRU,Ten. Cel. Aviador César Bombonato Airport,Uberlandia,Brazil,-18.883612,-48.225277,gol,24,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2633,UDI,GRU,Ten. Cel. Aviador César Bombonato Airport,Uberlandia,Brazil,-18.883612,-48.225277,latam airlines,10,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2578,VCP,GRU,Viracopos International Airport,Campinas,Brazil,-23.0074005127,-47.1344985962,gol,2,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
6039,VDC,GRU,Vitória da Conquista Airport,Vitória Da Conquista,Brazil,-14.8627996445,-40.8630981445,gol,18,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
6039,VDC,GRU,Vitória da Conquista Airport,Vitória Da Conquista,Brazil,-14.8627996445,-40.8630981445,latam airlines,12,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2638,VIX,GRU,Eurico de Aguiar Salles Airport,Vitoria,Brazil,-20.258057,-40.286388,gol,12,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2638,VIX,GRU,Eurico de Aguiar Salles Airport,Vitoria,Brazil,-20.258057,-40.286388,latam airlines,35,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2771,VVI,GRU,Viru Viru International Airport,Santa Cruz,Bolivia,-17.6448,-63.135399,boa,8,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2771,VVI,GRU,Viru Viru International Airport,Santa Cruz,Bolivia,-17.6448,-63.135399,gol,8,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2539,XAP,GRU,Serafin Enoss Bertaso Airport,Chapeco,Brazil,-27.134199142456,-52.656600952148,gol,16,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2539,XAP,GRU,Serafin Enoss Bertaso Airport,Chapeco,Brazil,-27.134199142456,-52.656600952148,latam airlines,8,2564,Guarulhos - Governador André Franco Montoro International Airport,Sao Paulo,Brazil,-23.435556411743164,-46.47305679321289,2459
2442,AEP,IGR,Jorge Newbery Airpark,Buenos Aires,Argentina,-34.5592,-58.4156,aerolineas argentinas,35,2471,Cataratas Del Iguazú International Airport,Iguazu Falls,Argentina,-25.737301,-54.4734,916
2442,AEP,IGR,Jorge Newbery Airpark,Buenos Aires,Argentina,-34.5592,-58.4156,flybondi,19,2471,Cataratas Del Iguazú International Airport,Iguazu Falls,Argentina,-25.737301,-54.4734,916
2442,AEP,IGR,Jorge Newbery Airpark,Buenos Aires,Argentina,-34.5592,-58.4156,jetsmart,8,2471,Cataratas Del Iguazú International Airport,Iguazu Falls,Argentina,-25.737301,-54.4734,916
