Population;City_origin;Country_origin;Latitude_origin;Longitude_origin;departure_iataCode;iso_code;GDP;two_letter_code
1260391.0;Munich;Germany;48.353802;Nov.61;MUC;DEU;3889668895299.62;DE
3149000;Milano;Italy;45.6306;8.728110000000001;MXP;ITA;1896755301518.14;IT
909048.0;Naples;Italy;40.886002000000005;14.2908;NAP;ITA;1896755301518.14;IT
7444.0;Newcastle;United Kingdom;55.03749847412109;-1.6916699409484863;NCL;GBR;2704609160088.15;GB
590000;Connaught;Ireland;53.9103012084961;-8.818490028381348;NOC;IRL;425852281928.121;IE
10131.0;Weeze;Germany;51.6024017334;6.14216995239;NRN;DEU;3889668895299.62;DE
249633.0;Porto;Portugal;41.2481002808;-8.68138980865;OPO;PRT;229031860520.777;PT
190384.0;Cork;Ireland;51.84130096435547;-8.491109848022461;ORK;IRL;425852281928.121;IE
2138551.0;Paris;France;48.7233333;2.3794444;ORY;FRA;2639008701648.26;FR
580000.0;Oslo;Norway;60.121;11.0502;OSL;NOR;362198318435.26;NO
69011.0;Ostend;Belgium;51.1988983154;2.8622200489;OST;BEL;525211810652.608;BE
1877155.0;Bucharest;Romania;44.5711111;26.085;OTP;ROU;251362040527.804;RO
78700;Aviles;Spain;43.5635986328125;-6.0346198081970215;OVD;ESP;1276962685648.25;ES
14750.0;Prestwick;United Kingdom;55.5093994140625;-4.586669921875;PIK;GBR;2704609160088.15;GB
950000;Palma de Mallorca;Spain;39.551700592;2.73881006241;PMI;ESP;1276962685648.25;ES
1165581.0;Prague;Czech Republic;50.1008;14.26;PRG;CZE;245974558654.043;CZ
109960.0;Pisa;Italy;43.683899;Oct.27;PSA;ITA;1896755301518.14;IT
742572.0;Riga;Latvia;56.92359924316406;23.971099853515625;RIX;LVA;34601740323.3386;LV
598199.0;Rotterdam;Netherlands;51.956902;4.43722;RTM;NLD;909793466661.481;NL
97800;Santiago;Spain;42.89630126953125;-8.415140151977539;SCQ;ESP;1276962685648.25;ES
172044.0;Santander;Spain;43.42710113525391;-3.82000994682312;SDR;ESP;1276962685648.25;ES
9729.0;Shannon;Ireland;52.702;-8.92482;SNN;IRL;425852281928.121;IE
8961989.0;London;United Kingdom;51.8849983215;0.234999999404;STN;GBR;2704609160088.15;GB
630305.0;Stuttgart;Germany;48.6898994446;9.22196006775;STR;DEU;3889668895299.62;DE
144877.0;Stavanger;Norway;58.876701354;5.637780189500001;SVG;NOR;362198318435.26;NO
10381222.0;Moscow;Russia;55.972599;37.4146;SVO;RUS;1489362488439.76;RU
684234.0;Sevilla;Spain;37.41799926757813;-5.8931097984313965;SVQ;ESP;1276962685648.25;ES
64345.0;Sandefjord;Norway;59.1866989136;10.258600235;TRF;NOR;362198318435.26;NO
1798000;Torino;Italy;45.200802;7.64963;TRN;ITA;1896755301518.14;IT
85760.0;Treviso;Italy;45.648399;Dec.44;TSF;ITA;1896755301518.14;IT
1691468.0;Vienna;Austria;48.110298156738;16.569700241089002;VIE;AUT;435225238000.437;AT
226490;Vitoria;Spain;42.8828010559082;-2.7244699001312256;VIT;ESP;1276962685648.25;ES
789744.0;Valencia;Spain;39.4893;-0.481625;VLC;ESP;1276962685648.25;ES
698966.0;Zagreb;Croatia;45.742900848400005;16.0687999725;ZAG;HRV;57472012426.6853;HR
1420000;Zurich;Switzerland;47.464699;8.54917;ZRH;CHE;739913619797.445;CH
196670.0;Aberdeen;United Kingdom;57.20190048217773;-2.1977798938751216;ABZ;GBR;2704609160088.15;GB
3056000;Izmir;Turkey;38.2924003601;27.156999588;ADB;TUR;720289368333.191;TR
67114;Alesund;Norway;62.5625;6.119699954986572;AES;NOR;362198318435.26;NO
19219.0;Akureyri;Iceland;65.66000366210939;-18.07270050048828;AEY;ISL;21694674809.9321;IS
592000;Malaga;Spain;36.67490005493164;-4.499110221862793;AGP;ESP;1276962685648.25;ES
592840.0;Kayseri;Turkey;38.770401001;35.4953994751;ASR;TUR;720289368333.191;TR
664046.0;Athens;Greece;37.9364013672;23.9444999695;ATH;GRC;188925995936.807;GR
758188.0;Antalya;Turkey;36.898701;30.800501;AYT;TUR;720289368333.191;TR
1273651.0;Belgrade;Serbia;44.8184013367;20.3090991974;BEG;SRB;53356480453.8048;RS
341877.0;Belfast;United Kingdom;54.61809921264648;-5.872499942779541;BHD;GBR;2704609160088.15;GB
202700;Bourgas;Bulgaria;42.56959915161133;27.515199661254886;BOJ;BGR;70240275010.1964;BG
316491.0;Bari;Italy;41.138901;16.760599;BRI;ITA;1896755301518.14;IT
311584.0;Catania;Italy;37.466801;15.0664;CTA;ITA;1896755301518.14;IT
556227.0;Dresden;Germany;51.1328010559082;13.767200469970703;DRS;DEU;3889668895299.62;DE
3517182.0;Ankara;Turkey;40.1281013489;32.995098114;ESB;TUR;720289368333.191;TR
41355.0;Faro;Portugal;37.0144004822;-7.965909957889999;FAO;PRT;229031860520.777;PT
367150.0;Florence;Italy;43.810001;Nov.51;FLR;ITA;1896755301518.14;IT
465000;Gdansk;Poland;54.37760162353516;18.46619987487793;GDN;POL;599449188399.108;PL
580097.0;Genoa;Italy;44.4133;Aug.75;GOA;ITA;1896755301518.14;IT
233218.0;Groningen;Netherlands;53.1197013855;6.579440116880001;GRQ;NLD;909793466661.481;NL
222326.0;Graz;Austria;46.9911003112793;15.439599990844728;GRZ;AUT;435225238000.437;AT
515140.0;Hannover;Germany;52.461101532;9.68507957458;HAJ;DEU;3889668895299.62;DE
211370;Heraklion;Greece;35.3396987915;25.1802997589;HER;GRC;188925995936.807;GR
1000;Humberside;United Kingdom;53.57440185546875;-0.350832998752594;HUY;GBR;2704609160088.15;GB
132493.0;Innsbruck;Austria;47.260201;11.344;INN;AUT;435225238000.437;AT
14804116.0;Istanbul;Turkey;40.976898;28.8146;ISL;TUR;720289368333.191;TR
3998.0;Ivalo;Finland;68.607299804688;27.405300140381;IVL;FIN;271891788362.647;FI
17400.0;Kuusamo;Finland;65.98760223388699;29.239400863647;KAO;FIN;271891788362.647;FI
3010000;Kiev;Ukraine;50.34500122070313;30.89469909667969;KBP;UKR;156617861448.576;UA
20298;Keflavik;Iceland;63.985000610352;-22.605600357056;KEF;ISL;21694674809.9321;IS
93205.0;Kristiansand;Norway;58.204201;8.08537;KRS;NOR;362198318435.26;NO
6500;Kittila;Finland;67.700996398926;24.846799850464;KTT;FIN;271891788362.647;FI
875530.0;Konya;Turkey;37.979;32.561901;KYA;TUR;720289368333.191;TR
